Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
NEW YORK,06/01/2020,72.6,53,62.9,,,0,,8.9,31.6,9.9,16.6,41.86,Clear
NEW YORK,06/02/2020,72,59,66.3,,,0,,8,,9.9,21.5,51.28,Clear
NEW YORK,06/03/2020,77.7,60.9,69.6,,,0.36,,9.7,19.7,9.7,11.1,77.29,Rain
NEW YORK,06/04/2020,86.6,66.7,74.6,,86.4,0.01,,5.6,51.7,9.9,6.9,68.25,Rain
NEW YORK,06/05/2020,81.4,68.2,72.1,,84.2,0.17,,7.2,,9.7,21.6,86.62,Rain
NEW YORK,06/06/2020,83.9,69.1,76.4,,87.5,0.08,,8,,9.4,16,68.97,Rain
NEW YORK,06/07/2020,78.9,64.1,71.8,,,0.01,,9.7,26.4,9.9,18,44.77,Rain
NEW YORK,06/08/2020,80.1,62.4,70.7,,79.4,0,,7.2,36.7,9.9,0,46.67,Clear
NEW YORK,06/09/2020,85.3,64.8,75.7,,84.8,0,,6.4,,9.9,0,54.48,Clear
NEW YORK,06/10/2020,81.7,71,75.6,,85,0,,8.9,18.3,9.9,0.8,68.38,Clear
NEW YORK,06/11/2020,80.1,71.3,74,,83,0.02,,12.8,33.3,9.9,29.4,84.1,"Rain, Partially cloudy"
NEW YORK,06/12/2020,83.7,69.2,76.8,,81.8,0,,7.2,35.6,9.9,14.8,54.06,Clear
NEW YORK,06/13/2020,76.4,61.9,68.8,,,0,,11.2,21.9,9.9,2.7,45.27,Clear
NEW YORK,06/14/2020,73.8,57.6,65.3,,,0,,11.2,23,9.9,3.4,52.32,Clear
NEW YORK,06/15/2020,72.4,62.9,66.9,,,0,,10.5,20.8,9.9,1.9,62.79,Clear
NEW YORK,06/16/2020,76.3,62.7,68.6,,,0,,10.5,20.8,9.9,0,59.27,Clear
NEW YORK,06/17/2020,78,63.9,68.8,,,0,,10.5,20.8,9.9,15.8,71.07,Clear
NEW YORK,06/18/2020,74.7,65.5,69.3,,,0,,8,,9.5,34.4,84.63,Partially cloudy
